location_type,state_code,state_name,website_state_id,year,travel_spending_source_value,travel_spending_denomination,travel_spending_usd,state_local_tax_receipts_source_value,state_local_tax_receipts_denomination,state_local_tax_receipts_usd,jobs_source_value,jobs_numeric,employment_ranking,,,,,,,,
state,NH,New Hampshire,30,2019,4.9,Billion,4900000000,161,Million,161000000,"27,800",27800,9,,,,,,,,
state,NJ,New Jersey,31,2024,28.8,Billion,28800000000,1.8,Billion,1800000000,"210,000",210000,9,,,,,,,,
state,NJ,New Jersey,31,2023,28,Billion,28000000000,1.8,Billion,1800000000,"207,000",207000,9,,,,,,,,
state,NJ,New Jersey,31,2022,25.9,Billion,25900000000,1.7,Billion,1700000000,"195,300",195300,9,,,,,,,,
state,NJ,New Jersey,31,2021,21.3,Billion,21300000000,1.5,Billion,1500000000,"170,100",170100,10,,,,,,,,
state,NJ,New Jersey,31,2020,16.7,Billion,16700000000,1.3,Billion,1300000000,"148,700",148700,11,,,,,,,,
state,NJ,New Jersey,31,2019,26.5,Billion,26500000000,1.7,Billion,1700000000,"215,600",215600,7,,,,,,,,
state,NM,New Mexico,32,2024,9.5,Billion,9500000000,690,Million,690000000,"63,100",63100,5,,,,,,,,
state,NM,New Mexico,32,2023,9.3,Billion,9300000000,667,Million,667000000,"61,800",61800,5,,,,,,,,
state,NM,New Mexico,32,2022,8.9,Billion,8900000000,645,Million,645000000,"60,400",60400,5,,,,,,,,
state,NM,New Mexico,32,2021,7.8,Billion,7800000000,584,Million,584000000,"54,400",54400,5,,,,,,,,
state,NM,New Mexico,32,2020,6.3,Billion,6300000000,493,Million,493000000,"49,400",49400,5,,,,,,,,
state,NM,New Mexico,32,2019,8,Billion,8000000000,609,Million,609000000,"62,200",62200,4,,,,,,,,
state,NV,Nevada,29,2024,63,Billion,63000000000,3.2,Billion,3200000000,"393,500",393500,1,,,,,,,,
state,NV,Nevada,29,2023,59.4,Billion,59400000000,3.1,Billion,3100000000,"378,600",378600,1,,,,,,,,
state,NV,Nevada,29,2022,52.8,Billion,52800000000,2.8,Billion,2800000000,"348,500",348500,1,,,,,,,,
state,NV,Nevada,29,2021,42.4,Billion,42400000000,2.2,Billion,2200000000,"292,900",292900,1,,,,,,,,
state,NV,Nevada,29,2020,22.3,Billion,22300000000,2,Billion,2000000000,"250,400",250400,1,,,,,,,,
state,NV,Nevada,29,2019,45.6,Billion,45600000000,3.5,Billion,3500000000,"386,500",386500,1,,,,,,,,
state,NY,New York,33,2024,109,Billion,1.09E+11,9.9,Billion,9900000000,"485,600",485600,7,,,,,,,,
state,NY,New York,33,2023,102.1,Billion,1.02E+11,9.4,Billion,9400000000,"471,200",471200,7,,,,,,,,
state,NY,New York,33,2022,91.2,Billion,91200000000,8.8,Billion,8800000000,"452,400",452400,7,,,,,,,,
state,NY,New York,33,2021,60.3,Billion,60300000000,7.1,Billion,7100000000,"384,500",384500,8,,,,,,,,
state,NY,New York,33,2020,39.3,Billion,39300000000,5.6,Billion,5600000000,"348,100",348100,9,,,,,,,,
state,NY,New York,33,2019,85.4,Billion,85400000000,8.5,Billion,8500000000,"536,700",536700,6,,,,,,,,
state,OH,Ohio,36,2024,27,Billion,27000000000,1.9,Billion,1900000000,"201,700",201700,11,,,,,,,,
state,OH,Ohio,36,2023,26.5,Billion,26500000000,1.8,Billion,1800000000,"197,900",197900,11,,,,,,,,
state,OH,Ohio,36,2022,25.1,Billion,25100000000,1.7,Billion,1700000000,"191,800",191800,11,,,,,,,,
state,OH,Ohio,36,2021,21.7,Billion,21700000000,1.6,Billion,1600000000,"185,400",185400,11,,,,,,,,
state,OH,Ohio,36,2020,17.9,Billion,17900000000,1.4,Billion,1400000000,"167,900",167900,11,,,,,,,,
state,OH,Ohio,36,2019,23.7,Billion,23700000000,1.6,Billion,1600000000,"194,400",194400,11,,,,,,,,
state,OK,Oklahoma,37,2024,9,Billion,9000000000,664,Million,664000000,"61,500",61500,9,,,,,,,,
state,OK,Oklahoma,37,2023,9,Billion,9000000000,662,Million,662000000,"61,300",61300,9,,,,,,,,
state,OK,Oklahoma,37,2022,8.5,Billion,8500000000,634,Million,634000000,"59,200",59200,9,,,,,,,,
state,OK,Oklahoma,37,2021,7.6,Billion,7600000000,581,Million,581000000,"55,700",55700,9,,,,,,,,
state,OK,Oklahoma,37,2020,6.5,Billion,6500000000,521,Million,521000000,"49,100",49100,11,,,,,,,,
state,OK,Oklahoma,37,2019,10.1,Billion,10100000000,850,Million,850000000,"85,200",85200,6,,,,,,,,
state,OR,Oregon,38,2024,13.7,Billion,13700000000,581,Million,581000000,"102,000",102000,7,,,,,,,,
state,OR,Oregon,38,2023,13.6,Billion,13600000000,581,Million,581000000,"101,800",101800,8,,,,,,,,
state,OR,Oregon,38,2022,13,Billion,13000000000,563,Million,563000000,"98,900",98900,8,,,,,,,,
state,OR,Oregon,38,2021,10.2,Billion,10200000000,467,Million,467000000,"85,000",85000,8,,,,,,,,
state,OR,Oregon,38,2020,8.5,Billion,8500000000,443,Million,443000000,"77,200",77200,8,,,,,,,,
state,OR,Oregon,38,2019,14.7,Billion,14700000000,594,Million,594000000,"104,500",104500,6,,,,,,,,
